participant,internalspeed,externalspeed,boundX_mean,boundX_sd,boundY_mean,boundY_sd,initialdirection_mean,initialdirection_sd,arrowdirection_mean,arrowdirection_sd,direction,slope
2,2,4,0.0636641221374046,0.0388983545696875,0.374656488549618,0.169000634263444,13.041054218622,7.26708066014039,7.26708066014039,7.26708066014039,1.34318699274885,4.31735981866686
3,2,4,0.0681738109219026,0.0773354621968784,0.338314738696418,0.18736140229452,17.431918522782,9.85297620921605,9.85297620921605,9.85297620921605,1.26655195363296,3.18478534688103
4,2,4,0.131335877862595,0.0604826869927131,0.276641221374046,0.117622494978924,20.0756390297218,19.4406895945215,19.4406895945215,19.4406895945215,1.22041032628437,2.73623272065949
5,2,4,0.155544395339494,0.0513373153944628,0.231840096424267,0.116476873808982,21.6253990275485,33.9831116583077,33.9831116583077,33.9831116583077,1.19336191170659,2.52244416432718
6,2,4,0.113979007633588,0.0300833378182204,0.185830152671756,0.0451881587350943,31.2625821924349,9.56290752170885,9.56290752170885,9.56290752170885,1.02516133486156,1.64713331444418
8,2,4,0.13969465648855,0.0744503781572786,0.699201943095073,0.0816891009681694,10.1886656596115,6.86287660913156,6.86287660913156,6.86287660913156,1.3929705646498,5.56408156259237
9,2,4,0.0613342183869897,0.0192588911887898,0.141984732824427,0.0622527902039048,22.0683379399771,7.80656522393864,7.80656522393864,7.80656522393864,1.18563116929951,2.46661246367068
10,2,4,0.164000693962526,0.0686640495338859,0.332373351839001,0.0830186941857835,25.6588473034142,19.7477570743238,19.7477570743238,19.7477570743238,1.12296495908385,2.08167148863995
11,2,4,0.10655590480467,0.0701218683792668,0.36621014818141,0.143287261804441,17.4843354487926,7.6941369493043,7.6941369493043,7.6941369493043,1.2656371056903,3.1746209385603
2,3,4,0.0858778625954199,0.0709659781399523,0.385448473282443,0.161172220878077,20.6498021910041,12.4855841923965,12.4855841923965,12.4855841923965,1.21038928867634,2.65345155950819
3,3,4,0.102071973827699,0.0595753199193799,0.357360959651036,0.198419918797016,22.7320764238691,10.6574046599941,10.6574046599941,10.6574046599941,1.1740467473834,2.38682273265456
4,3,4,0.168047982551799,0.0634715889453297,0.280534351145038,0.054388710322093,30.4607056557995,17.9107288015646,17.9107288015646,17.9107288015646,1.03915672062034,1.70032860080026
6,3,4,0.132490458015267,0.0445350274032357,0.178959923664122,0.0558757397525406,35.8781402779216,16.7627173675897,16.7627173675897,16.7627173675897,0.944604649452771,1.38255602586781
8,3,4,0.126682859125607,0.0769960867210717,0.649340735600277,0.145003118596425,9.83095388611711,6.67245689610908,6.67245689610908,6.67245689610908,1.39921381287042,5.7707929698619
9,3,4,0.0558206106870229,0.0418066782294178,0.133921755725191,0.0527890285617861,20.8923976790873,12.7788251658824,12.7788251658824,12.7788251658824,1.2061551986588,2.61978411749737
10,3,4,0.192604961832061,0.0773918673046234,0.291221374045802,0.0809901250724894,34.881256756937,18.7610724751448,18.7610724751448,18.7610724751448,0.962003549152826,1.43446618124875
11,3,4,0.131327069876688,0.0519162220795228,0.323957721667645,0.071647222159477,19.7109586920504,14.0993352880191,14.0993352880191,14.0993352880191,1.22677519889402,2.79120940420335
2,4,4,0.106603053435114,0.0434291776084538,0.440381679389313,0.140483112593491,23.9703147691152,10.9782922838917,10.9782922838917,10.9782922838917,1.15243541133441,2.249172202487
3,4,4,0.073854961832061,0.0670323675570156,0.254927133934768,0.165251451341648,18.0257781610517,14.4931522775708,14.4931522775708,14.4931522775708,1.25618714765046,3.07297849356583
4,4,4,0.161699303020246,0.0548565052994277,0.292134085628941,0.163732561337306,28.2580286629051,24.0438538370336,24.0438538370336,24.0438538370336,1.07760068650427,1.86046519039103
5,4,4,0.145419847328244,0.0997827019650428,0.19051254089422,0.125889370646992,19.8910218287585,35.6210551568587,35.6210551568587,35.6210551568587,1.223632504297,2.76382259232493
6,4,4,0.135639312977099,0.0412655742211623,0.150047709923664,0.0457685068079882,39.7123928212617,13.8910706794944,13.8910706794944,13.8910706794944,0.87768431821852,1.20397585546465
